district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
CA-14,CA,14,Safe D,Incumbent,22.448767455138224,4471680.34,842783.13,0.8414170809983947,50.641,12.872,1.0,1.6e-05,0.003463,0.003463,0.0,D,False
RI-02,RI,2,Likely D,Incumbent,3.7712601111473285,1205349.12,3226.73,0.9973301386090083,36.261,11.311,0.9993,1.5e-05,0.000932,0.000933,-1e-06,D,False
NC-02,NC,2,Safe D,Incumbent,11.44542313038604,1662982.58,34107.25,0.9799025075767498,43.966,11.928,0.9999,1.5e-05,0.001287,0.001288,-1e-06,D,False
FL-01,FL,1,Safe R,Challenger,-19.928854314051243,1577031.14,6834261.22,0.18748975454706462,-31.588,7.234,0.0,1.3e-05,0.001221,0.001221,0.0,R,False
NY-06,NY,6,Safe D,Incumbent,16.45316367287223,1836399.64,90481.09,0.9530427137542654,48.434,12.349,1.0,1.3e-05,0.001422,0.001422,0.0,D,False
OR-02,OR,2,Safe R,Challenger,-15.622567897681755,26507.0,749404.44,0.034162403894959975,-36.865,7.021,0.0,1.3e-05,2.1e-05,2.1e-05,0.0,R,False
MA-08,MA,8,Safe D,Incumbent,14.729375410314466,976310.31,20838.83,0.9791015915633242,47.489,12.202,1.0,1.2e-05,0.000756,0.000756,0.0,D,False
TX-10,TX,10,Safe R,Challenger,-13.4287872760659,110429.72,3277061.69,0.03259926200078541,-34.521,6.916,0.0,1.2e-05,8.6e-05,8.6e-05,0.0,R,False
IN-02,IN,2,Safe R,Challenger,-14.123373420505617,131331.75,3265287.94,0.038665426802610335,-34.341,6.949,0.0,1.2e-05,0.000102,0.000102,0.0,R,False
TX-04,TX,4,Safe R,Challenger,-17.269135073146472,16133.2,398560.44,0.038903900238257814,-38.047,7.102,0.0,1.2e-05,1.2e-05,1.2e-05,0.0,R,False
IL-03,IL,3,Safe D,Incumbent,20.7490927090049,782619.54,39492.29,0.9519623869176046,53.036,12.721,1.0,1.1e-05,0.000606,0.000606,0.0,D,False
