district_id,state,district,cook_rating,incumb_status,pvi,d_total_22,r_total_22,d_total,r_total,mu_22,mu_hat,sigma_i,p_win_22,p_win,msg_22,msg_i_per_1m,rec_share_22,obs_share_24,diff_22,outcome,redistricting_flagged
OR-03,OR,3,Safe D,Open,22.427199819667493,376932.72,9925.0,1530978.36,15329.54,26.42972648351271,26.43,9.509,0.997278412696379,0.9973,2.439798226345456e-09,0.00244,0.0,0.002041,-0.002041,D,False
CO-06,CO,6,Safe D,Incumbent,8.034491840473857,2296194.68,255307.39,1821690.15,253953.58,34.28990923178106,34.29,10.676,0.9993407305856744,0.9993,2.3605028608675795e-09,0.002361,0.0,0.002428,-0.002428,D,False
CA-40,CA,40,Lean R,Challenger,-2.3490241947268897,3059846.95,6999757.74,660258.61,6010188.08,-9.714015606426454,-14.586,5.989,0.0523911821974212,0.0074,7.710640857680449e-09,0.002232,0.0,0.00088,-0.00088,R,False
TN-09,TN,9,Safe D,Incumbent,22.62624564209648,119849.49,555671.19,120903.16,48447.35,47.86780196919644,47.868,12.283,0.9999513410950146,1.0,2.196860473736373e-09,0.002197,0.0,0.000161,-0.000161,D,False
MA-01,MA,1,Safe D,Incumbent,8.575942547188976,1042807.26,17202.89,752821.17,0.0,37.9426246935341,37.943,10.732,0.999796589781883,0.9998,2.1721013196621113e-09,0.002172,0.0,0.001003,-0.001003,D,False
MN-05,MN,5,Safe D,Challenger,29.534822063444928,2693695.38,3598762.9,86810.0,2215178.56,21.40786048643215,21.408,7.776,0.9970474785461464,0.997,2.1462993887030092e-09,0.002146,0.0,0.000116,-0.000116,D,False
PA-16,PA,16,Safe R,Challenger,-12.68595112222987,449272.34,499061.1,656391.88,544088.32,-20.09349796716177,-20.093,6.614,0.0011904674379134,0.0012,2.1441622130315246e-09,0.002144,0.0,0.000875,-0.000875,R,False
TN-07,TN,7,Safe R,Open,-10.102757532277788,0.0,1735537.65,1207217.05,3874099.59,-20.461957467787578,-20.462,8.447,0.0077074842796987,0.0077,2.133567168448938e-09,0.002134,0.0,0.001609,-0.001609,R,False
NJ-06,NJ,6,Safe D,Incumbent,8.090405096667297,1123162.48,476142.95,1295550.79,77348.45,36.01291601449398,36.013,10.682,0.9996261930949392,0.9996,2.109356409023193e-09,0.002109,0.0,0.001727,-0.001727,D,False
MI-11,MI,11,Likely D,Incumbent,6.989361726624355,6385827.029999999,634919.01,1469802.92,24284.91,33.795208316687315,35.583,10.569,0.9993069376666952,0.9996,7.382782153111152e-10,0.001992,0.0,0.001959,-0.001959,D,False
MI-06,MI,6,Safe D,Incumbent,10.53660625108362,626811.71,804105.8,475303.26,1435.6,40.32882150895474,40.329,10.936,0.9998869167542792,0.9999,1.9419383387999115e-09,0.001942,0.0,0.000634,-0.000634,D,False
HI-01,HI,1,Safe D,Incumbent,14.514952454064334,602354.8300000001,77925.44,152921.51,0.0,45.37870361054583,45.379,11.362,0.9999675150131636,1.0,1.7969420987256251e-09,0.001797,0.0,0.000204,-0.000204,D,False
SC-06,SC,6,Safe D,Incumbent,14.673162065264773,1781538.84,193346.47,736486.77,207325.86,39.92782012598522,39.928,11.379,0.9997750149136896,0.9998,1.7938307265343287e-09,0.001794,0.0,0.000982,-0.000982,D,False
MT-01,MT,1,Likely R,Challenger,-6.648156748725844,4507970.73,661536.76,5447238.77,7952758.75,-10.524607575194665,-13.827,6.241,0.0458654857136678,0.0134,1.2908430293668836e-08,0.001774,0.0,0.007261,-0.007261,R,False
AZ-02,AZ,2,Likely R,Challenger,-6.433271888721167,3503891.04,4684510.3,5320391.09,8412660.34,-13.336511261716549,-13.767,6.228,0.01612496855621,0.0135,3.4192943633554773e-09,0.001754,0.0,0.007092,-0.007092,R,False
MI-01,MI,1,Safe R,Challenger,-12.864139449304291,539750.2,660143.57,969169.32,645798.34,-19.915190952610388,-19.915,6.625,0.0013236927818992,0.0013,1.7530571794129623e-09,0.001753,0.0,0.001292,-0.001292,R,False
IL-10,IL,10,Safe D,Incumbent,11.04113176541972,2384385.69,39575.0,2242846.93,659770.29,35.15362750924749,35.154,10.989,0.9993105976290306,0.9993,1.708282217451059e-09,0.001708,0.0,0.002989,-0.002989,D,False
CT-01,CT,1,Safe D,Incumbent,11.52663853099498,1210754.0,132762.21000000002,481191.76,6731.0,41.32063752442605,41.321,11.04,0.9999089954666872,0.9999,1.5323560251342736e-09,0.001532,0.0,0.000641,-0.000641,D,False
KY-03,KY,3,Safe D,Incumbent,8.079431177631157,2777314.62,494292.0,1241661.21,0.0,37.32095579836164,37.321,10.68,0.9997623653396042,0.9998,1.5300713488672151e-09,0.00153,0.0,0.001655,-0.001655,D,False
NJ-11,NJ,11,Likely D,Incumbent,5.375678065707767,4645973.38,721217.51,3281322.3,81785.45,30.64526158566142,33.374,10.407,0.998384185995168,0.9993,2.1318694210702074e-09,0.001519,0.0,0.004374,-0.004374,D,False
OH-07,OH,7,Likely R,Challenger,-7.01551308297736,237717.6,1729601.05,83713.43,780037.64,-19.53415142580328,-20.488,6.263,0.0009076704179094,0.0005,1.0814890420694483e-09,0.001514,0.0,0.000112,-0.000112,R,False
WA-02,WA,2,Safe D,Incumbent,9.080595379195262,793128.29,58017.23,966214.09,2070.0,38.52573484257612,38.526,10.784,0.9998232660851176,0.9998,1.473566598255702e-09,0.001474,0.0,0.001288,-0.001288,D,False
NJ-12,NJ,12,Safe D,Incumbent,15.154219911894874,448763.34,264839.72,401537.2,54933.59,43.25901971482702,43.259,11.432,0.9999228714213708,0.9999,1.353224442476219e-09,0.001353,0.0,0.000535,-0.000535,D,False
CA-29,CA,29,Safe D,Open,27.637639681993456,577848.55,0.0,561950.5,35033.71,32.73825980040677,32.738,9.997,0.9994714889040006,0.9995,1.3371687329815491e-09,0.001337,0.0,0.000749,-0.000749,D,False
CA-46,CA,46,Safe D,Incumbent,16.58257586569293,450593.58,41965.99,352717.67,63407.0,44.20339331129775,44.203,11.59,0.9999316372244582,0.9999,1.306713511858253e-09,0.001307,0.0,0.00047,-0.00047,D,False
