district_id,cook_rating,predicted_dccc_share,predicted_dccc_dollars,model_optimal_dollars
IA-01,Likely R,0.009744352370267136,3842272.508940978,7739455.0288811335
IA-02,Lean R,0.008945189778808827,3527156.59988338,3810874.0769296177
IA-03,Lean R,0.008064715230119203,3179978.7655128837,5988296.301505308
IA-04,Safe R,0.000755838978550627,298033.07784029655,7676.995866891812
ID-01,Safe R,0.00012372476094995693,48785.6175156237,30255.48084892932
ID-02,Safe R,0.000635693808641197,250658.92039155576,3089.5213150015843
IL-01,Safe D,0.00011248104767339982,44352.135558141315,6990.66352437099
IL-02,Safe D,0.00035774208265149424,141060.43349348265,0.0
IL-03,Safe D,0.00016133755216414132,63616.62815392593,0.0
IL-04,Safe D,7.635719979612428e-05,30108.226641266152,0.0
IL-05,Safe D,0.00020994954877307358,82784.70942581778,0.0
IL-06,Likely D,0.0036699634910124083,1447094.6138360414,494265.01751011517
IL-07,Safe D,3.724059578153201e-05,14684.251138594766,0.0
IL-08,Likely D,0.0040386787338969575,1592481.8481570804,399251.45196033875
IL-09,Safe D,0.0013702162312423443,540286.7175320388,5.8
IL-10,Safe D,0.0013806292475546937,544392.6493366167,0.0
IL-11,Likely D,0.002645683879749537,1043213.3457660741,440495.77339925617
IL-12,Safe R,9.185394839946447e-05,36218.71288745997,1604.1148620087915
IL-13,Likely D,0.004156251059141502,1638841.5133183883,314190.3333461918
IL-14,Likely D,0.004364072103707832,1720786.9372906452,0.0
IL-15,Safe R,0.0001493201656258788,58878.08092464325,1309.9380213109253
IL-16,Safe R,0.0010853240006843145,427951.5367124249,40744.15834427494
IL-17,Lean D,0.003937580225468333,1552617.934695216,652673.8505881616
IN-01,Likely D,0.0032881589489921342,1296546.1689676542,1029830.9665389308
IN-02,Safe R,0.0014075241187440355,554997.5023094659,17683.979009688395
IN-03,Safe R,0.00035197941729090787,138788.17056087687,6080.659826706906
IN-04,Safe R,0.0002897051570691803,114232.95447543671,160.59262443270927
IN-05,Safe R,0.001346400400205635,530895.9535907485,454597.7318927389
IN-06,Safe R,0.00022295910511853923,87914.47678236618,206.75468864810682
IN-07,Safe D,0.00022256945189028318,87760.83354061349,0.0
IN-08,Safe R,0.00025989020230872515,102476.69026428572,25695.671311123646
IN-09,Safe R,0.0005699484636578095,224735.02909311486,32408.77203938269
KS-01,Safe R,0.0002932812703256081,115643.04322550673,20783.777131152805
KS-02,Safe R,0.001647765592321224,649726.548874907,2823064.6566315778
KS-03,Toss-Up,0.005361565446153672,2114106.1751320236,0.0
KS-04,Safe R,0.000757497926989189,298687.2138707922,68890.45365203347
KY-01,Safe R,0.00010351368783096388,40816.237132966824,127.22450440069952
KY-02,Safe R,0.00021617077129227022,85237.7849457929,3.2006737598130712
KY-03,Safe D,0.0014657879130960394,577971.3610944144,0.0
KY-04,Safe R,0.0006892401709401504,271772.6597143285,0.0
KY-05,Safe R,1.4262445033747792e-05,5623.790928442031,2.328442740079481
KY-06,Likely R,0.009267890874246974,3654400.1046842164,667169.5445875948
LA-01,Safe R,0.0004490945891701275,177081.4240203034,0.0
LA-02,Safe D,9.065577121022569e-05,35746.26247719981,0.0
LA-03,Safe R,0.0001578808540829427,62253.62571883086,92.18614956571037
LA-04,Safe R,0.004052269763415133,1597840.894823458,1761.4492976294423
LA-05,Safe R,0.000826434714191605,325869.5151934296,2539.5617309118534
LA-06,Safe R,0.00013120009032126006,51733.19693878548,2872167.5983659904
MA-01,Safe D,0.001928422091885973,760391.5486365769,0.0
MA-02,Safe D,0.000624689251360799,246319.7394686085,0.0
MA-03,Safe D,0.0009542417842615872,376264.81835144985,0.0
MA-04,Safe D,0.0008277517861900784,326388.8467343816,0.0
MA-05,Safe D,0.0002714815839033165,107047.26049298958,0.0
MA-06,Safe D,0.0035410335751825867,1396256.5640253061,0.0
MA-07,Safe D,1.1743020815371337e-05,4630.362730774895,0.0
MA-08,Safe D,0.0004127457494556024,162748.79910485275,0.0
MA-09,Likely D,0.0019211755793039095,757534.1934197525,296603.3708060079
MD-01,Safe R,0.0016579575925240177,653745.332340682,2464310.362851443
MD-02,Likely D,0.0016667489551953783,657211.833738083,0.0
MD-03,Safe D,0.0012543056802736066,494582.3026504192,0.0
MD-04,Safe D,9.477651021141456e-06,3737.1101315037818,0.0
MD-05,Safe D,0.005956278359639091,2348606.015795583,0.0
MD-06,Toss-Up,0.017661237159052302,6963960.603187135,0.0
